,Neighborhood,Number of Arrests
0,Central Business District,2877
1,South Side Flats,2414
2,Carrick,1693
3,East Allegheny,1578
4,Homewood South,1549
5,Homewood North,1399
6,East Liberty,1309
7,Marshall-Shadeland,1099
8,Bluff,1063
9,Mount Washington,1031
10,Knoxville,974
11,Hazelwood,952
12,Brookline,928
13,Lincoln-Lemington-Belmar,911
14,Beechview,906
15,Sheraden,896
16,Allegheny Center,864
17,Brighton Heights,814
18,Perry South,799
19,East Hills,789
20,Bloomfield,724
21,Shadyside,713
22,Middle Hill,701
23,Allentown,690
24,Fineview,657
25,Central North Side,654
26,Crawford-Roberts,605
27,South Side Slopes,596
28,Larimer,588
29,Squirrel Hill South,587
30,Homewood West,570
31,North Shore,558
32,Spring Hill-City View,541
33,Northview Heights,524
34,Garfield,523
35,Perry North,493
36,Elliott,460
37,Bedford Dwellings,458
38,Highland Park,423
39,Crafton Heights,393
40,Central Oakland,389
41,Beltzhoover,381
42,Manchester,372
43,Greenfield,358
44,Strip District,352
45,Central Lawrenceville,334
46,Chateau,325
47,Troy Hill,312
48,North Oakland,311
49,Upper Hill,275
50,Point Breeze,249
51,South Oakland,245
52,West Oakland,225
53,Outside City,221
54,California-Kirkbride,211
55,Arlington,209
56,Overbrook,209
57,South Shore,208
58,Banksville,204
59,Point Breeze North,200
60,West End,198
61,Squirrel Hill North,198
62,Lower Lawrenceville,192
63,Terrace Village,190
64,Spring Garden,180
65,Bon Air,173
66,Stanton Heights,172
67,Westwood,158
68,Upper Lawrenceville,148
69,Morningside,143
70,Esplen,142
71,Duquesne Heights,140
72,Lincoln Place,137
73,Friendship,127
74,Polish Hill,115
75,Arlington Heights,111
76,Glen Hazel,105
77,Mount Oliver,100
78,Allegheny West,92
79,Golden Triangle/Civic Arena,83
80,Windgap,82
81,Fairywood,81
82,Hays,78
83,Summer Hill,59
84,Oakwood,56
85,Outside State,49
86,Outside County,42
87,East Carnegie,38
88,St. Clair,36
89,Swisshelm Park,30
90,Chartiers City,28
91,New Homestead,27
92,Ridgemont,26
93,Regent Square,23
94,Central Northside,23
95,Mt. Oliver Boro,17
96,Troy Hill-Herrs Island,6
97,Mt. Oliver Neighborhood,2
