,Neighborhood,Number of Fires
0,Regent Square,5
1,East Carnegie,8
2,Mt. Oliver,10
3,Ridgemont,10
4,St. Clair,11
5,Chartiers City,11
6,Oakwood,12
7,Arlington Heights,12
8,Hays,14
9,Swisshelm Park,14
10,Windgap,16
11,Bon Air,16
12,West End,17
13,Summer Hill,18
14,Glen Hazel,18
15,Esplen,18
16,South Shore,19
17,New Homestead,20
18,Spring Garden,21
19,Fairywood,21
20,Westwood,22
21,Friendship,27
22,Morningside,29
23,Polish Hill,31
24,Duquesne Heights,32
25,California-Kirkbride,33
26,Allegheny West,34
27,Chateau,36
28,Bedford Dwellings,36
29,Point Breeze North,38
30,Upper Hill,39
31,Strip District,41
32,Arlington,41
33,Upper Lawrenceville,42
34,Overbrook,45
35,Homewood West,45
36,Fineview,45
37,Lower Lawrenceville,46
38,Allegheny Center,48
39,Stanton Heights,50
40,Banksville,50
41,Lincoln Place,51
42,West Oakland,52
43,North Shore,53
44,Northview Heights,56
45,Manchester,58
46,Elliott,58
47,Highland Park,63
48,Central Lawrenceville,64
49,Point Breeze,64
50,Troy Hill,65
51,Crafton Heights,73
52,South Oakland,73
53,South Side Slopes,77
54,Terrace Village,77
55,Central Oakland,80
56,Crawford-Roberts,85
57,Middle Hill,88
58,Greenfield,88
59,Spring Hill-City View,90
60,Garfield,93
61,Perry North,96
62,East Allegheny,97
63,North Oakland,100
64,Central Northside,103
65,Allentown,104
66,Bluff,105
67,Squirrel Hill North,106
68,Beltzhoover,109
69,Marshall-Shadeland,110
70,Larimer,112
71,Beechview,116
72,Brighton Heights,119
73,East Hills,123
74,Knoxville,132
75,Bloomfield,136
76,Perry South,138
77,Shadyside,143
78,Brookline,146
79,Sheraden,149
80,Homewood South,150
81,Homewood North,157
82,Lincoln-Lemington-Belmar,165
83,Mount Washington,168
84,East Liberty,171
85,Hazelwood,206
86,South Side Flats,206
87,Central Business District,208
88,Squirrel Hill South,208
89,Carrick,235
