,Neighborhood,Number of Arrests
0,Mt. Oliver Neighborhood,2
1,Troy Hill-Herrs Island,6
2,Mt. Oliver Boro,17
3,Regent Square,23
4,Central Northside,23
5,Ridgemont,26
6,New Homestead,27
7,Chartiers City,28
8,Swisshelm Park,30
9,St. Clair,36
10,East Carnegie,38
11,Outside County,42
12,Outside State,49
13,Oakwood,56
14,Summer Hill,59
15,Hays,78
16,Fairywood,81
17,Windgap,82
18,Golden Triangle/Civic Arena,83
19,Allegheny West,92
20,Mount Oliver,100
21,Glen Hazel,105
22,Arlington Heights,111
23,Polish Hill,115
24,Friendship,127
25,Lincoln Place,137
26,Duquesne Heights,140
27,Esplen,142
28,Morningside,143
29,Upper Lawrenceville,148
30,Westwood,158
31,Stanton Heights,172
32,Bon Air,173
33,Spring Garden,180
34,Terrace Village,190
35,Lower Lawrenceville,192
36,Squirrel Hill North,198
37,West End,198
38,Point Breeze North,200
39,Banksville,204
40,South Shore,208
41,Arlington,209
42,Overbrook,209
43,California-Kirkbride,211
44,Outside City,221
45,West Oakland,225
46,South Oakland,245
47,Point Breeze,249
48,Upper Hill,275
49,North Oakland,311
50,Troy Hill,312
51,Chateau,325
52,Central Lawrenceville,334
53,Strip District,352
54,Greenfield,358
55,Manchester,372
56,Beltzhoover,381
57,Central Oakland,389
58,Crafton Heights,393
59,Highland Park,423
60,Bedford Dwellings,458
61,Elliott,460
62,Perry North,493
63,Garfield,523
64,Northview Heights,524
65,Spring Hill-City View,541
66,North Shore,558
67,Homewood West,570
68,Squirrel Hill South,587
69,Larimer,588
70,South Side Slopes,596
71,Crawford-Roberts,605
72,Central North Side,654
73,Fineview,657
74,Allentown,690
75,Middle Hill,701
76,Shadyside,713
77,Bloomfield,724
78,East Hills,789
79,Perry South,799
80,Brighton Heights,814
81,Allegheny Center,864
82,Sheraden,896
83,Beechview,906
84,Lincoln-Lemington-Belmar,911
85,Brookline,928
86,Hazelwood,952
87,Knoxville,974
88,Mount Washington,1031
89,Bluff,1063
90,Marshall-Shadeland,1099
91,East Liberty,1309
92,Homewood North,1399
93,Homewood South,1549
94,East Allegheny,1578
95,Carrick,1693
96,South Side Flats,2414
97,Central Business District,2877
