,Neighborhood,Persons / sq. mi (2010)
19,Central Oakland,21658.4
55,North Oakland,21144.3
10,Bluff,20183.5
33,Friendship,16839.6
67,Shadyside,15108.6
43,Knoxville,12407.3
87,West Oakland,12111.6
9,Bloomfield,12025.6
18,Central Northside,11285.7
28,East Liberty,10101.5
82,Terrace Village,9438.6
36,Greenfield,9436.0
75,Squirrel Hill North,9298.7
25,East Allegheny,9050.8
51,Morningside,8759.2
23,Crawford-Roberts,8744.2
2,Allentown,8474.6
34,Garfield,8041.6
52,Mount Washington,7718.4
48,Manchester,7634.4
40,Homewood North,7557.6
63,Point Breeze North,7181.8
71,South Side Flats,7048.1
6,Bedford Dwellings,6715.1
85,Upper Lawrenceville,6590.1
84,Upper Hill,6571.9
12,Brighton Heights,6487.9
13,Brookline,6346.8
78,Stanton Heights,6259.9
72,South Side Slopes,6177.4
15,Carrick,6044.8
68,Sheraden,5953.9
83,Troy Hill,5900.0
41,Homewood South,5889.4
27,East Hills,5857.7
69,South Oakland,5844.5
16,Central Business District,5670.3
76,Squirrel Hill South,5657.1
50,Middle Hill,5596.7
39,Highland Park,5498.7
7,Beechview,5461.6
47,Lower Lawrenceville,5444.2
62,Point Breeze,5293.8
32,Fineview,5140.0
53,Mt. Oliver,5090.0
22,Crafton Heights,5058.4
64,Polish Hill,4996.1
65,Regent Square,4833.3
49,Marshall-Shadeland,4819.0
17,Central Lawrenceville,4654.2
61,Perry South,4580.1
8,Beltzhoover,4572.4
0,Allegheny Center,4442.9
88,Westwood,4430.6
59,Overbrook,4343.3
5,Banksville,4276.6
74,Spring Hill-City View,4203.2
42,Homewood West,4110.6
58,Oakwood,4075.4
3,Arlington,3976.6
29,Elliott,3929.0
24,Duquesne Heights,3892.5
44,Larimer,3883.1
57,Northview Heights,3878.6
20,Chartiers City,3613.6
14,California-Kirkbride,3506.9
60,Perry North,3341.6
89,Windgap,3298.8
45,Lincoln Place,3279.5
1,Allegheny West,3276.6
73,Spring Garden,3214.5
81,Swisshelm Park,2835.4
38,Hazelwood,2727.1
46,Lincoln-Lemington-Belmar,2694.8
11,Bon Air,2581.5
80,Summer Hill,2394.1
4,Arlington Heights,1848.5
35,Glen Hazel,1570.2
26,East Carnegie,1319.4
66,Ridgemont,1308.9
30,Esplen,1308.7
86,West End,1270.0
54,New Homestead,1246.9
31,Fairywood,1034.1
79,Strip District,1013.2
56,North Shore,1000.0
77,St. Clair,674.2
37,Hays,206.9
70,South Shore,89.6
21,Chateau,28.7
